university,private,apps,accept,enroll,top10perc,top25perc,f_undergrad,p_undergrad,outstate,room_board,books,personal,phd,terminal,s_f_ratio,perc_alumni,expend,grad_rate,reject,perc_accept,perc_actually_came
Pace University,Yes,8256,3750,1522,37,70,5809,4379,11000,5160,660,1115,90.0,95,13.8,10,10059,62,4506,45.42,40.59
Pacific Lutheran University,Yes,1603,1392,504,31,68,2580,302,13312,4488,600,1516,78.0,78,11.0,23,9431,83,211,86.84,36.21
Pacific Union College,Yes,940,668,385,20,48,1316,139,11925,3825,630,1926,48.0,87,12.3,12,9157,69,272,71.06,57.63
Pacific University,Yes,943,849,288,41,71,1041,35,14210,3994,450,1100,76.0,76,10.9,22,11216,42,94,90.03,33.92
Pembroke State University,No,944,774,440,14,34,2174,529,6360,2760,550,1498,77.0,77,15.0,5,6443,48,170,81.99,56.85
Pennsylvania State Univ. Main Campus,No,19315,10344,3450,48,93,28938,2025,10645,4060,512,2394,77.0,96,18.1,19,8992,63,8971,53.55,33.35
Pepperdine University,Yes,3821,2037,680,86,96,2488,625,18200,6770,500,700,95.0,98,11.6,13,16185,66,1784,53.31,33.38
Peru State College,No,701,501,458,10,40,959,457,2580,2624,500,900,48.0,100,20.1,24,4870,44,200,71.47,91.42
Pfeiffer College,Yes,838,651,159,11,25,654,162,8640,3700,400,1915,62.0,62,12.2,13,7634,48,187,77.68,24.42
Philadelphia Coll. of Textiles and Sci.,Yes,1538,1259,468,19,42,1664,1042,11690,5062,600,1664,48.0,80,12.9,15,8028,68,279,81.86,37.17
Phillips University,Yes,692,576,174,19,50,597,83,10500,3860,600,940,58.0,64,11.6,19,8990,39,116,83.24,30.21
Piedmont College,Yes,663,562,127,20,40,641,63,5640,3620,600,750,89.0,89,13.2,17,7309,31,101,84.77,22.6
Pikeville College,Yes,404,400,169,28,48,797,100,6000,3000,500,500,48.0,57,13.4,14,5557,61,4,99.01,42.25
Pitzer College,Yes,1133,630,220,37,73,750,30,17688,5900,650,850,100.0,100,10.4,11,14820,73,503,55.6,34.92
Point Loma Nazarene College,Yes,809,687,428,20,43,1889,217,10178,4190,800,750,71.0,71,16.1,19,7895,54,122,84.92,62.3
Point Park College,Yes,875,744,207,7,38,1173,1402,9700,4830,400,1200,45.0,90,14.5,10,7652,66,131,85.03,27.82
Polytechnic University,Yes,1132,847,302,58,89,1379,214,16200,4200,436,2486,90.0,90,10.4,14,14329,62,285,74.82,35.66
Presbyterian College,Yes,1082,832,302,34,63,1133,30,11859,3635,554,1429,80.0,85,13.4,42,8354,85,250,76.89,36.3
Princeton University,Yes,13218,2042,1153,90,98,4540,146,19900,5910,675,1575,91.0,96,8.4,54,28320,99,11176,15.45,56.46
Providence College,Yes,5139,3346,973,20,55,3717,1358,14400,6200,450,1100,66.0,74,18.4,35,8135,96,1793,65.11,29.08
Purdue University at West Lafayette,No,21804,18744,5874,29,60,26213,4065,9556,3990,570,1060,86.0,86,18.2,15,8604,67,3060,85.97,31.34
Queens College,Yes,516,392,154,32,62,630,549,11020,4970,610,1900,73.0,75,14.0,36,9315,58,124,75.97,39.29
Quincy University,Yes,1025,707,297,22,66,1070,72,10100,4140,450,1080,69.0,71,16.3,32,6880,80,318,68.98,42.01
Quinnipiac College,Yes,3712,2153,806,17,45,2677,714,12030,6140,1000,500,63.0,73,12.0,33,8847,86,1559,58.0,37.44
Radford University,No,5702,4894,1742,15,37,8077,472,6684,4110,500,900,73.0,83,19.6,9,4519,62,808,85.83,35.59
Ramapo College of New Jersey,No,2088,957,362,6,29,2745,1938,4449,4860,600,1655,74.0,95,17.8,8,7333,47,1131,45.83,37.83
Randolph-Macon College,Yes,1771,1325,306,21,46,1071,27,13840,3735,400,900,77.0,80,10.7,38,11080,74,446,74.82,23.09
Randolph-Macon Woman's College,Yes,696,616,169,35,66,653,56,13970,6110,370,920,88.0,97,9.2,24,16358,68,80,88.51,27.44
Reed College,Yes,1966,1436,327,47,80,1199,61,19960,5490,500,450,90.0,90,11.8,37,15886,68,530,73.04,22.77
Regis College,Yes,427,385,143,18,38,581,533,12700,5800,450,700,81.0,85,10.3,37,11758,84,42,90.16,37.14
Rensselaer Polytechnic Institute,Yes,4996,4165,936,53,82,4291,16,17475,5976,1230,1100,94.0,98,15.4,21,15605,70,831,83.37,22.47
Rhodes College,Yes,2302,1831,391,58,82,1345,59,15200,4768,550,1500,90.0,96,10.8,47,13388,77,471,79.54,21.35
Rider University,Yes,3586,2424,730,16,31,2748,1309,13250,5420,700,3100,84.0,92,12.3,23,11299,70,1162,67.6,30.12
Ripon College,Yes,587,501,211,28,52,735,28,15200,4100,350,650,87.0,90,9.4,49,12472,64,86,85.35,42.12
Rivier College,Yes,484,386,141,6,28,590,1196,9870,4860,600,1100,59.0,59,12.2,19,6744,81,98,79.75,36.53
Roanoke College,Yes,2227,1790,437,27,54,1460,239,13425,4425,450,1200,85.0,89,13.0,26,9405,72,437,80.38,24.41
Rockhurst College,Yes,935,858,345,22,50,1127,754,9490,4100,500,1500,60.0,79,10.7,21,7519,79,77,91.76,40.21
Rocky Mountain College,Yes,560,392,270,11,31,743,118,8734,3362,600,625,56.0,78,11.3,27,6422,68,168,70.0,68.88
Roger Williams University,Yes,3304,2804,679,10,20,2111,1489,12520,6050,500,730,44.0,54,16.4,8,7957,61,500,84.87,24.22
Rollins College,Yes,1777,1151,382,31,55,1668,1052,16425,5220,955,750,81.0,85,13.3,23,11561,90,626,64.77,33.19
Rosary College,Yes,434,321,141,28,53,624,269,10950,4600,550,950,79.0,82,12.9,30,9264,81,113,73.96,43.93
Rowan College of New Jersey,No,3820,1431,695,21,70,5303,3942,4356,4830,800,800,76.0,81,22.1,6,7252,51,2389,37.46,48.57
Rutgers at New Brunswick,No,48094,26330,4520,36,79,21401,3712,7410,4748,690,2009,90.0,95,19.5,19,10474,77,21764,54.75,17.17
Rutgers State University at Camden,No,3366,1752,232,27,79,2585,1300,7411,4748,690,2009,90.0,95,18.6,12,10134,57,1614,52.05,13.24
Rutgers State University at Newark,No,5785,2690,499,26,62,4005,1886,7410,4748,690,2009,90.0,95,17.4,16,11878,58,3095,46.5,18.55
Sacred Heart University,Yes,2307,1896,509,19,51,1707,1889,11070,5780,400,600,71.0,73,14.8,16,7120,82,411,82.18,26.85
Saint Ambrose University,Yes,897,718,276,12,48,1345,390,10450,4020,500,1500,56.0,56,14.1,16,7444,70,179,80.04,38.44
Saint Anselm College,Yes,2095,1553,514,15,40,1873,94,12950,5400,450,1120,70.0,82,14.5,29,6719,97,542,74.13,33.1
Saint Cloud State University,No,3971,3306,1921,10,34,11493,2206,4259,2625,350,1884,70.0,75,18.9,10,4629,58,665,83.25,58.11
Saint Francis College IN,Yes,213,166,85,13,36,513,247,8670,3820,450,1000,43.0,78,12.5,4,7440,48,47,77.93,51.2
Saint Francis College,Yes,1046,824,284,21,45,1223,451,10880,5050,400,1235,64.0,64,19.3,24,7344,69,222,78.78,34.47
Saint John's University,Yes,933,800,444,18,45,1691,72,12247,4081,500,600,76.0,85,12.0,38,9853,70,133,85.74,55.5
Saint Joseph's College IN,Yes,920,684,225,24,42,815,222,11200,4250,600,950,55.0,60,14.8,19,7360,67,236,74.35,32.89
Saint Joseph's College,Yes,833,682,217,12,33,716,2196,9985,5180,500,800,53.0,89,27.2,8,4322,85,151,81.87,31.82
Saint Joseph's University,Yes,2519,2003,776,39,71,2473,1314,12750,6350,350,1690,84.0,90,17.4,13,8243,83,516,79.52,38.74
Saint Joseph College,Yes,292,241,96,20,52,543,712,12200,4600,650,950,87.0,90,11.2,32,8680,76,51,82.53,39.83
Saint Louis University,Yes,3294,2855,956,44,67,4576,1140,11690,4730,800,6800,84.0,94,4.6,19,18367,67,439,86.67,33.49
Saint Mary's College,Yes,888,734,393,26,60,1433,27,12730,4514,500,1525,74.0,95,9.9,31,11165,98,154,82.66,53.54
Saint Mary's College of Minnesota,Yes,876,802,367,14,35,1263,118,10800,3600,400,820,68.0,74,18.8,19,5081,78,74,91.55,45.76
Saint Mary-of-the-Woods College,Yes,150,130,88,23,50,341,768,10300,4130,500,1700,44.0,58,10.2,37,9678,75,20,86.67,67.69
Saint Michael's College,Yes,1910,1380,463,16,64,1715,106,13030,5860,500,750,79.0,88,14.5,34,10190,84,530,72.25,33.55
Saint Olaf College,Yes,2248,1673,745,38,73,2888,105,14350,3750,550,550,82.0,88,10.0,31,12502,83,575,74.42,44.53
Saint Peter's College,Yes,1606,1413,530,23,38,1921,1154,9408,5520,500,450,78.0,78,12.1,22,7669,53,193,87.98,37.51
Saint Vincent College,Yes,700,595,278,19,35,1035,182,10850,3936,500,900,62.0,64,12.3,31,8534,88,105,85.0,46.72
Saint Xavier University,Yes,785,647,295,15,65,1670,726,10860,4624,600,794,87.0,100,13.7,15,8953,55,138,82.42,45.6
Salem-Teikyo University,Yes,489,384,120,23,52,700,45,10575,3952,400,620,46.0,24,13.0,9,8946,98,105,78.53,31.25
Salem College,Yes,335,284,132,28,69,534,216,10475,6300,500,2000,68.0,68,11.2,46,9599,60,51,84.78,46.48
Salisbury State University,No,4216,2290,736,20,52,4296,1027,5130,4690,600,1450,73.0,75,17.9,18,5125,56,1926,54.32,32.14
San Diego State University,No,9402,7020,2151,20,70,16407,5550,8384,5110,612,2400,87.0,93,19.5,7,7930,41,2382,74.66,30.64
Santa Clara University,Yes,4019,2779,888,40,73,3891,128,13584,5928,630,1278,88.0,92,13.9,19,10872,100,1240,69.15,31.95
Sarah Lawrence College,Yes,1380,768,263,57,82,1000,105,19300,6694,600,700,89.0,93,6.1,18,14779,83,612,55.65,34.24
Savannah Coll. of Art and Design,Yes,1109,688,386,20,65,1897,208,8325,5000,1200,1600,14.0,98,16.1,26,6874,55,421,62.04,56.1
Schreiner College,Yes,584,413,131,19,51,521,99,8955,5900,500,1488,51.0,56,11.8,23,8545,52,171,70.72,31.72
Scripps College,Yes,855,632,139,60,83,569,7,17238,7350,600,800,95.0,100,8.2,41,18372,73,223,73.92,21.99
Seattle Pacific University,Yes,1183,1016,411,42,82,1922,704,12669,4875,600,1250,83.0,85,16.8,20,10368,66,167,85.88,40.45
Seattle University,Yes,2115,1540,494,28,72,2993,347,12825,4375,500,1500,85.0,85,12.2,16,10175,89,575,72.81,32.08
Seton Hall University,Yes,4576,3565,1000,16,36,4384,1530,12000,6484,650,1000,81.0,84,14.4,15,10080,64,1011,77.91,28.05
Seton Hill College,Yes,936,794,197,24,56,752,210,11240,4180,350,2000,71.0,71,11.2,37,10065,71,142,84.83,24.81
Shippensburg University of Penn.,No,5818,3281,1116,14,53,5268,300,7844,3504,450,1700,80.0,83,18.8,13,6719,72,2537,56.39,34.01
Shorter College,Yes,540,445,165,23,70,1115,111,7210,3600,500,2000,62.0,65,13.2,18,7356,58,95,82.41,37.08
Siena College,Yes,2961,1932,628,24,68,2669,616,10800,5100,575,1090,71.0,82,14.1,42,8189,100,1029,65.25,32.51
Siena Heights College,Yes,464,419,183,10,31,686,287,9240,3880,475,1090,29.0,49,7.2,17,9431,47,45,90.3,43.68
Simmons College,Yes,1003,782,295,23,53,1144,160,16160,6950,500,1200,74.0,81,8.9,33,14086,79,221,77.97,37.72
Simpson College,Yes,1016,872,300,27,57,1116,602,11250,4980,550,1400,66.0,73,15.8,36,7411,70,144,85.83,34.4
Sioux Falls College,Yes,437,400,211,13,35,614,271,8990,3064,500,1700,73.0,73,14.8,7,7881,48,37,91.53,52.75
Skidmore College,Yes,4293,2728,591,25,62,2322,263,18710,5970,500,700,87.0,92,12.7,29,14837,81,1565,63.55,21.66
Smith College,Yes,2925,1598,632,51,88,2479,95,18820,6390,500,1050,85.0,97,10.3,44,21199,90,1327,54.63,39.55
South Dakota State University,No,2807,2589,1701,13,37,7000,1103,3811,2190,500,1970,62.0,65,15.0,29,5084,67,218,92.23,65.7
Southeast Missouri State University,No,2281,1870,1408,18,43,6553,1246,4680,3540,200,2150,75.0,76,17.1,8,5916,45,411,81.98,75.29
Southeastern Oklahoma State Univ.,No,818,700,447,20,50,2962,651,3738,2619,450,1022,55.0,59,19.6,9,4444,53,118,85.57,63.86
Southern California College,Yes,385,340,193,18,38,784,127,9520,4124,630,1818,63.0,65,18.6,11,8219,43,45,88.31,56.76
Southern Illinois University at Edwardsville,No,2540,2195,994,13,40,6063,2550,5472,3598,221,2216,76.0,81,16.5,8,7498,43,345,86.42,45.28
Southern Methodist University,Yes,4301,3455,1166,41,69,4892,387,12772,5078,576,1802,74.0,88,13.5,17,12726,72,846,80.33,33.75
Southwest Baptist University,Yes,1093,1093,642,12,32,1770,967,7070,2500,400,1000,52.0,54,15.9,13,4718,71,0,100.0,58.74
Southwest Missouri State University,No,6118,5254,3204,15,37,13131,3374,4740,2590,500,1360,70.0,75,19.9,11,4632,56,864,85.88,60.98
Southwest State University,No,1047,938,511,13,33,2091,546,4285,2750,600,1800,58.0,75,16.5,31,6591,51,109,89.59,54.48
Southwestern Adventist College,Yes,321,318,172,11,27,620,280,7536,3736,430,1651,44.0,77,13.0,12,5309,36,3,99.07,54.09
Southwestern College,Yes,213,155,75,28,66,504,147,7200,3532,550,1500,56.0,56,11.8,12,7818,52,58,72.77,48.39
Southwestern University,Yes,1244,912,352,44,77,1177,43,11850,4675,600,1050,83.0,89,11.3,35,12995,67,332,73.31,38.6
Spalding University,Yes,283,201,97,10,45,589,263,8400,2800,600,900,50.0,56,10.6,40,6860,89,82,71.02,48.26
Spelman College,Yes,3713,1237,443,47,83,1971,107,7000,5565,660,2400,73.0,80,12.5,18,9988,65,2476,33.32,35.81
Spring Arbor College,Yes,372,362,181,15,32,1501,353,8600,3550,385,665,48.0,48,15.4,9,10938,49,10,97.31,50.0
St. Bonaventure University,Yes,1489,1313,375,13,45,1688,131,10456,4927,500,1050,91.0,91,17.7,32,9828,78,176,88.18,28.56
St. John's College,Yes,323,278,122,31,51,393,4,16150,5450,275,800,63.0,72,7.2,26,15622,64,45,86.07,43.88
St. John Fisher College,Yes,1368,1064,354,19,51,1687,677,10570,5600,400,800,86.0,81,14.5,29,7908,66,304,77.78,33.27
St. Lawrence University,Yes,2753,1820,505,31,56,1801,45,18720,5730,650,825,90.0,94,11.5,38,14980,85,933,66.11,27.75
St. Martin's College,Yes,191,165,63,5,25,494,574,11550,4270,300,500,43.0,77,14.5,8,9209,40,26,86.39,38.18
St. Mary's College of California,Yes,2643,1611,465,36,80,2615,248,13332,6354,630,1584,88.0,89,16.1,17,9619,78,1032,60.95,28.86
St. Mary's College of Maryland,No,1340,695,285,42,73,1315,209,6800,4730,675,1250,84.0,89,11.6,23,10357,63,645,51.87,41.01
St. Mary's University of San Antonio,Yes,1243,1020,414,33,60,2149,418,8678,3858,700,1736,82.0,83,16.2,7,7651,72,223,82.06,40.59
St. Norbert College,Yes,1334,1243,568,30,56,1946,95,12140,4450,425,1100,74.0,78,15.1,36,8595,88,91,93.18,45.7
St. Paul's College,Yes,651,581,243,8,17,617,34,5000,3650,600,600,45.0,45,14.0,8,8426,45,70,89.25,41.82
St. Thomas Aquinas College,Yes,861,609,215,10,27,1117,815,8650,5700,500,1750,69.0,73,16.1,13,6534,67,252,70.73,35.3
Stephens College,Yes,450,405,194,17,34,614,388,13900,5200,450,2150,46.0,63,10.9,17,9995,59,45,90.0,47.9
Stetson University,Yes,1557,1227,489,37,69,1964,81,12315,4565,600,1365,85.0,90,12.5,24,10307,73,330,78.81,39.85
Stevens Institute of Technology,Yes,1768,1249,380,51,93,1263,11,16900,5680,450,750,89.0,89,19.0,33,12837,79,519,70.64,30.42
Stockton College of New Jersey,No,4019,1579,710,23,65,4365,765,3040,4351,711,1125,78.0,92,19.5,7,5599,64,2440,39.29,44.97
Stonehill College,Yes,3646,2300,585,25,69,2022,926,12170,6172,480,800,79.0,79,13.0,30,7495,97,1346,63.08,25.43
SUNY at Albany,No,13528,9198,1843,16,61,10168,1231,6550,4355,700,1560,93.0,96,17.4,16,9075,74,4330,67.99,20.04
SUNY at Binghamton,No,14463,6166,1757,60,94,8544,671,6550,4598,700,1000,83.0,100,18.0,15,8055,80,8297,42.63,28.49
SUNY at Buffalo,No,15039,9649,3087,36,100,13963,3124,6550,4731,708,957,90.0,97,13.6,15,11177,56,5390,64.16,31.99
SUNY at Stony Brook,No,12512,6969,1724,27,66,9744,1351,6550,4712,600,1200,91.0,96,10.5,7,13705,57,5543,55.7,24.74
SUNY College  at Brockport,No,7294,3564,904,7,34,5758,1363,6550,4460,500,705,79.0,83,19.0,14,6632,49,3730,48.86,25.36
SUNY College  at Oswego,No,8000,4556,1464,17,70,6943,869,6550,4810,500,1500,69.0,85,22.0,21,5280,63,3444,56.95,32.13
SUNY College at Buffalo,No,5318,3515,1025,8,29,7626,2091,6550,4040,550,1230,71.0,78,18.7,12,7511,42,1803,66.1,29.16
SUNY College at Cortland,No,7888,3519,1036,6,40,5011,346,6550,4680,630,1274,82.0,85,17.8,17,5563,53,4369,44.61,29.44
SUNY College at Fredonia,No,4877,2798,814,13,48,4123,298,6550,4420,620,1481,82.0,90,16.3,10,6442,66,2079,57.37,29.09
SUNY College at Geneseo,No,8598,4562,1143,56,93,5060,146,6550,4170,600,650,79.0,84,19.1,25,5716,76,4036,53.06,25.05
SUNY College at New Paltz,No,8399,3609,656,19,53,4658,1478,6550,4240,550,1500,85.0,93,15.3,8,6608,53,4790,42.97,18.18
SUNY College at Plattsburgh,No,5549,3583,853,9,40,5004,475,6550,4176,600,1380,80.0,90,17.9,16,6174,65,1966,64.57,23.81
SUNY College at Potsdam,No,3150,2289,650,16,51,3598,234,6840,4660,500,1000,71.0,75,15.1,17,6436,59,861,72.67,28.4
SUNY College at Purchase,No,2119,1264,390,5,33,2478,1441,6550,4760,1125,1362,80.0,100,14.9,8,8170,46,855,59.65,30.85
Susquehanna University,Yes,2096,1512,465,27,59,1442,166,16130,4710,400,800,83.0,86,13.9,37,10554,90,584,72.14,30.75
Sweet Briar College,Yes,462,402,146,36,68,527,41,14500,6000,500,600,91.0,99,6.5,48,18953,61,60,87.01,36.32
Syracuse University,Yes,10477,7260,2442,28,67,10142,117,15150,6870,635,960,73.0,84,11.3,13,14231,67,3217,69.29,33.64
Tabor College,Yes,257,183,109,19,41,396,38,7850,3410,400,1500,55.0,70,10.0,15,7233,53,74,71.21,59.56
Talladega College,Yes,4414,1500,335,30,60,908,119,5666,2964,1000,1400,56.0,58,15.5,7,5970,46,2914,33.98,22.33
Taylor University,Yes,1769,1092,437,41,80,1757,81,10965,4000,450,1250,60.0,61,14.2,32,8294,98,677,61.73,40.02
Tennessee Wesleyan College,Yes,232,182,99,7,29,402,237,7070,3640,400,3158,59.0,65,8.9,16,6286,36,50,78.45,54.4
Texas A&M Univ. at College Station,No,14474,10519,6392,49,85,31643,2798,5130,3412,600,2144,89.0,91,23.1,29,8471,69,3955,72.68,60.77
Texas Christian University,Yes,4095,3079,1195,33,64,5064,660,8490,3320,650,2400,81.0,93,14.8,23,9158,64,1016,75.19,38.81
Texas Lutheran College,Yes,497,423,215,27,57,895,429,7850,3410,490,1700,54.0,58,13.8,24,7002,50,74,85.11,50.83
Texas Southern University,No,4345,3245,2604,15,85,5584,3101,7860,3360,600,1700,65.0,75,18.2,21,3605,10,1100,74.68,80.25
Texas Wesleyan University,Yes,592,501,279,19,44,1204,392,6400,3484,600,1800,80.0,83,14.5,10,7936,43,91,84.63,55.69
The Citadel,No,1500,1242,611,12,36,2024,292,7070,2439,400,779,95.0,94,17.1,17,7744,84,258,82.8,49.19
Thiel College,Yes,1154,951,253,15,31,791,140,11172,4958,700,1350,68.0,76,11.6,16,9186,60,203,82.41,26.6
Tiffin University,Yes,845,734,254,5,21,662,351,7600,3800,600,1200,59.0,74,19.0,40,5096,39,111,86.86,34.6
Transylvania University,Yes,759,729,244,57,81,867,51,10900,4450,500,1000,81.0,91,12.1,41,10219,70,30,96.05,33.47
Trenton State College,No,5042,2312,944,55,94,5167,902,5391,5411,700,1000,81.0,87,14.4,6,8504,81,2730,45.85,40.83
Tri-State University,Yes,1262,1102,276,14,40,978,98,9456,4350,468,1323,53.0,53,12.8,24,7603,65,160,87.32,25.05
Trinity College CT,Yes,3058,1798,478,46,84,1737,244,18810,5690,500,680,91.0,96,10.4,48,18034,91,1260,58.8,26.59
Trinity College DC,Yes,247,189,100,19,49,309,639,11412,6430,500,900,89.0,93,8.3,37,11806,96,58,76.52,52.91
Trinity College VT,Yes,222,185,91,16,41,484,541,11010,5208,550,500,58.0,78,10.4,26,9586,78,37,83.33,49.19
Trinity University,Yes,2425,1818,601,62,93,2110,95,12240,5150,500,490,94.0,96,9.6,20,14703,93,607,74.97,33.06
Tulane University,Yes,7033,5125,1223,47,75,4941,1534,19040,5950,350,800,98.0,98,9.1,21,16920,74,1908,72.87,23.86
Tusculum College,Yes,626,372,145,12,34,983,40,7700,3400,450,800,70.0,70,21.9,28,4933,52,254,59.42,38.98
Tuskegee University,Yes,2267,1827,611,20,59,2825,144,6735,3395,600,1425,70.0,74,12.2,7,10872,65,440,80.59,33.44
Union College KY,Yes,484,384,177,9,45,634,78,7800,2950,500,600,60.0,88,14.1,9,6864,64,100,79.34,46.09
Union College NY,Yes,3495,1712,528,49,84,1915,123,18732,6204,450,1024,94.0,96,11.5,49,15411,88,1783,48.98,30.84
Univ. of Wisconsin at OshKosh,No,4800,2900,1515,14,48,7764,1472,6874,2394,518,1890,73.0,78,19.2,14,5901,56,1900,60.42,52.24
University of Alabama at Birmingham,No,1797,1260,938,24,35,6960,4698,4440,5175,750,2200,96.0,96,6.7,16,16352,33,537,70.12,74.44
University of Arkansas at Fayetteville,No,3235,3108,2133,25,65,9978,1530,5028,3300,500,2000,73.0,89,14.8,10,6820,39,127,96.07,68.63
University of California at Berkeley,No,19873,8252,3215,95,100,19532,2061,11648,6246,636,1933,93.0,97,15.8,10,13919,78,11621,41.52,38.96
University of California at Irvine,No,15698,10775,2478,85,100,12677,864,12024,5302,790,1818,96.0,96,16.1,11,15934,66,4923,68.64,23.0
University of Central Florida,No,6986,2959,1918,25,60,12330,7152,6618,4234,700,1600,80.0,98,22.2,9,6742,46,4027,42.36,64.82
University of Charleston,Yes,682,535,204,22,43,771,611,9500,3540,400,750,26.0,58,2.5,10,7683,57,147,78.45,38.13
University of Cincinnati,No,6855,5553,2408,26,57,11036,2011,8907,4697,556,1851,89.0,95,10.8,6,13889,54,1302,81.01,43.36
University of Connecticut at Storrs,No,9735,7187,2064,23,63,12478,1660,11656,5072,700,2300,89.0,95,16.0,16,10178,71,2548,73.83,28.72
University of Dallas,Yes,681,588,246,44,74,1058,73,10760,6230,500,1200,85.0,93,13.4,26,8731,63,93,86.34,41.84
University of Denver,Yes,2974,2001,580,29,60,2666,554,15192,4695,400,1350,84.0,91,15.9,21,11762,67,973,67.28,28.99
University of Dubuque,Yes,576,558,137,11,39,662,131,10430,3620,400,1500,85.0,98,16.5,18,8767,45,18,96.88,24.55
University of Evansville,Yes,2096,1626,694,35,67,2551,407,11800,4340,700,960,60.0,81,15.8,26,7780,77,470,77.58,42.68
University of Florida,No,12445,8836,3623,54,85,24470,3286,7090,4180,630,1530,88.0,97,13.4,20,14737,66,3609,71.0,41.0
University of Georgia,No,11220,7871,3320,43,79,19553,2748,5697,3600,525,1755,88.0,95,14.7,22,7881,63,3349,70.15,42.18
University of Hartford,Yes,5081,4040,1194,11,26,3768,1415,14220,6000,500,1440,61.0,76,10.7,9,10625,66,1041,79.51,29.55
University of Hawaii at Manoa,No,3580,2603,1627,36,69,11028,2411,4460,3038,687,1281,85.0,87,11.8,6,12833,54,977,72.71,62.5
University of Illinois - Urbana,No,14939,11652,5705,52,88,25422,911,7560,4574,500,1982,87.0,90,17.4,13,8559,81,3287,78.0,48.96
University of Illinois at Chicago,No,8384,5727,2710,22,50,13518,2916,7230,5088,630,3228,82.0,84,10.0,6,13883,34,2657,68.31,47.32
University of Indianapolis,Yes,1487,1276,388,26,51,1417,1646,11120,4080,525,1405,55.0,56,11.1,23,6735,69,211,85.81,30.41
University of Kansas,No,8579,5561,3681,25,50,17880,1673,6994,3384,700,2681,88.0,94,13.7,17,9657,57,3018,64.82,66.19
University of Louisville,No,4777,3057,1823,16,33,9844,6198,6540,3600,530,2440,84.0,92,11.1,24,10207,31,1720,63.99,59.63
University of Maine at Farmington,No,1208,803,438,20,48,1906,344,6810,3970,450,1647,67.0,75,15.9,26,5712,59,405,66.47,54.55
University of Maine at Machias,No,441,369,172,17,45,633,317,6600,3680,600,400,46.0,46,15.1,4,5935,64,72,83.67,46.61
University of Maine at Presque Isle,No,461,381,235,10,40,974,503,6600,3630,400,1675,67.0,67,15.2,11,6408,35,80,82.65,61.68
University of Maryland at Baltimore County,No,4269,2594,985,27,57,6476,2592,8594,4408,494,2768,82.0,88,18.4,6,7618,55,1675,60.76,37.97
University of Maryland at College Park,No,14292,10315,3409,22,53,19340,3991,8723,5146,550,1550,89.0,92,18.1,12,9021,63,3977,72.17,33.05
University of Massachusetts at Amherst,No,14438,12414,3816,12,39,16282,1940,8566,3897,500,1400,88.0,92,16.7,15,10276,68,2024,85.98,30.74
University of Massachusetts at Dartmouth,No,3347,2597,1006,10,37,4664,1630,6919,4500,500,1250,74.0,90,15.0,20,7462,56,750,77.59,38.74
University of Miami,Yes,7122,5386,1643,42,69,7760,876,16500,6526,630,1985,82.0,94,5.9,17,17500,59,1736,75.62,30.51
University of Minnesota at Duluth,No,4192,3126,1656,15,45,5887,1254,8828,3474,753,2610,79.0,91,19.0,11,6393,53,1066,74.57,52.98
University of Minnesota at Morris,No,1458,874,588,56,86,1846,154,9843,3180,600,1500,74.0,78,14.6,16,6716,51,584,59.95,67.28
University of Minnesota Twin Cities,No,11054,6397,3524,26,55,16502,21836,8949,3744,714,2910,88.0,90,12.2,37,16122,45,4657,57.87,55.09
University of Missouri at Columbia,No,6574,4637,2940,32,62,14782,1583,9057,3485,600,1983,87.0,87,12.7,15,10145,58,1937,70.54,63.4
University of Missouri at Rolla,No,1877,1826,823,49,77,3926,561,9057,3600,700,1435,88.0,88,14.4,23,9699,49,51,97.28,45.07
University of Missouri at Saint Louis,No,1618,1141,479,18,54,4793,4552,7246,3964,500,4288,71.0,73,13.4,15,6433,48,477,70.52,41.98
University of Mobile,Yes,452,331,269,17,54,1417,301,6150,3680,550,1200,59.0,63,16.6,4,5412,52,121,73.23,81.27
University of Montevallo,No,1351,892,570,18,78,2385,331,4440,3030,300,600,72.0,72,18.9,8,5883,51,459,66.03,63.9
University of Nebraska at Lincoln,No,6277,6003,3526,33,63,16454,3171,5595,3145,500,2070,86.0,92,15.1,48,6813,53,274,95.63,58.74
University of New Hampshire,No,9750,7640,2529,24,62,10358,1338,11180,3862,650,2450,89.0,87,17.5,16,7855,75,2110,78.36,33.1
University of North Carolina at Asheville,No,1757,979,394,32,74,2033,1078,5972,3420,600,750,77.0,83,13.0,11,7011,37,778,55.72,40.25
University of North Carolina at Chapel Hill,No,14596,5985,3331,75,92,14609,1100,8400,4200,550,1200,88.0,93,8.9,23,15893,83,8611,41.0,55.66
University of North Carolina at Charlotte,No,5803,4441,1730,19,62,10099,3255,7248,3109,600,1900,79.0,91,16.8,7,6227,62,1362,76.53,38.96
University of North Carolina at Greensboro,No,5191,4134,1500,15,44,7532,1847,8677,3505,600,1300,75.0,94,15.5,17,7392,53,1057,79.64,36.28
University of North Carolina at Wilmington,No,6071,3856,1449,15,67,6635,1145,7558,3680,500,1500,82.0,85,19.1,15,6005,55,2215,63.52,37.58
University of North Dakota,No,2777,2249,1652,20,54,8334,1435,5634,2703,450,1200,97.0,97,15.9,16,9424,49,528,80.99,73.45
University of North Florida,No,1800,1253,560,44,85,3876,3588,6634,4360,600,2604,82.0,85,17.8,14,6104,47,547,69.61,44.69
